Orthogroup	chimp	human	rhesus	Total
OG0000082	1	4	1	6
OG0000083	2	1	3	6
OG0000084	1	1	4	6
OG0000085	1	2	3	6
OG0000086	1	3	2	6
OG0000087	2	1	3	6
OG0000088	1	2	3	6
OG0000089	2	2	2	6
OG0000090	1	4	1	6
OG0000091	2	2	2	6
OG0000092	2	2	2	6
OG0000093	2	1	3	6
OG0000094	2	1	3	6
OG0000095	3	1	2	6
OG0000096	2	2	2	6
OG0000097	1	3	2	6
OG0000098	2	2	2	6
OG0000099	2	1	3	6
OG0000100	1	4	1	6
OG0000101	2	2	2	6
OG0000102	2	2	2	6
OG0000103	1	4	1	6
OG0000104	1	2	3	6
OG0000105	1	4	1	6
OG0000106	2	2	2	6
OG0000107	2	1	3	6
OG0000108	2	2	2	6
OG0000109	1	4	1	6
OG0000110	1	4	1	6
OG0000111	2	2	2	6
OG0000112	1	1	4	6
OG0000113	1	1	4	6
OG0000114	1	3	2	6
OG0000115	1	3	2	6
OG0000116	2	2	2	6
OG0000117	2	2	2	6
OG0000118	1	2	3	6
OG0000119	1	3	2	6
OG0000120	1	3	2	6
OG0000121	1	3	2	6
OG0000122	0	6	0	6
OG0000123	0	0	6	6
OG0000124	2	2	1	5
OG0000125	1	3	1	5
OG0000126	1	3	1	5
OG0000127	2	2	1	5
OG0000128	1	2	2	5
OG0000129	1	3	1	5
OG0000130	2	2	1	5
OG0000131	1	2	2	5
OG0000132	1	3	1	5
OG0000133	1	2	2	5
OG0000134	1	3	1	5
OG0000135	1	3	1	5
OG0000136	1	2	2	5
OG0000137	1	3	1	5
OG0000138	1	2	2	5
OG0000139	2	1	2	5
OG0000140	2	1	2	5
OG0000141	1	2	2	5
OG0000142	2	1	2	5
OG0000143	1	3	1	5
OG0000144	1	1	3	5
OG0000145	1	3	1	5
OG0000146	2	1	2	5
OG0000147	1	2	2	5
OG0000148	1	1	3	5
OG0000149	2	1	2	5
OG0000150	1	1	3	5
OG0000151	1	1	3	5
OG0000152	1	1	3	5
OG0000153	1	2	2	5
OG0000154	2	1	2	5
OG0000155	1	2	2	5
OG0000156	2	2	1	5
OG0000157	2	2	1	5
OG0000158	1	3	1	5
OG0000159	1	1	3	5
OG0000160	2	1	2	5
OG0000161	1	3	1	5
OG0000162	1	2	2	5
OG0000163	1	2	2	5
OG0000164	2	2	1	5
OG0000165	1	2	2	5
OG0000166	1	1	3	5
OG0000167	2	2	1	5
OG0000168	1	3	1	5
OG0000169	2	2	1	5
OG0000170	1	4	0	5
OG0000171	1	3	1	5
OG0000172	1	1	3	5
OG0000173	1	2	2	5
OG0000174	1	2	2	5
OG0000175	1	3	1	5
OG0000176	1	2	2	5
OG0000177	1	2	2	5
OG0000178	1	3	1	5
OG0000179	1	4	0	5
OG0000180	1	1	3	5
OG0000181	1	1	3	5
OG0000182	1	1	3	5
OG0000183	2	1	2	5
OG0000184	1	2	2	5
OG0000185	1	3	1	5
OG0000186	1	2	2	5
OG0000187	1	1	3	5
OG0000188	1	1	3	5
OG0000189	1	2	2	5
OG0000190	1	3	1	5
OG0000191	1	1	3	5
OG0000192	1	1	3	5
OG0000193	1	1	3	5
OG0000194	1	2	2	5
OG0000195	1	3	1	5
OG0000196	1	1	3	5
OG0000197	1	2	2	5
OG0000198	1	1	3	5
OG0000199	1	2	2	5
OG0000200	1	2	2	5
OG0000201	1	2	2	5
OG0000202	1	2	2	5
OG0000203	1	3	1	5
OG0000204	1	3	1	5
OG0000205	1	3	1	5
OG0000206	1	3	1	5
OG0000207	1	1	3	5
OG0000208	1	3	1	5
OG0000209	2	1	2	5
OG0000210	1	3	1	5
OG0000211	1	1	3	5
OG0000212	1	2	2	5
OG0000213	1	3	1	5
OG0000214	1	1	3	5
OG0000215	1	1	3	5
OG0000216	3	1	1	5
OG0000217	1	3	1	5
OG0000218	1	2	2	5
OG0000219	0	4	1	5
OG0000220	0	3	2	5
OG0000221	0	2	3	5
OG0000222	0	4	1	5
OG0000223	0	1	4	5
OG0000224	0	1	4	5
OG0000225	0	2	3	5
OG0000226	0	0	5	5
OG0000227	0	0	5	5
OG0000228	1	2	1	4
OG0000229	1	2	1	4
OG0000230	1	2	1	4
OG0000231	1	2	1	4
OG0000232	2	1	1	4
OG0000233	1	2	1	4
OG0000234	1	1	2	4
OG0000235	1	2	1	4
OG0000236	1	2	1	4
OG0000237	1	1	2	4
OG0000238	1	1	2	4
OG0000239	1	2	1	4
OG0000240	1	2	1	4
OG0000241	1	2	1	4
OG0000242	1	1	2	4
OG0000243	2	1	1	4
OG0000244	1	2	1	4
OG0000245	1	2	1	4
OG0000246	1	2	1	4
OG0000247	1	2	1	4
OG0000248	1	2	1	4
OG0000249	1	2	1	4
OG0000250	1	2	1	4
OG0000251	1	2	1	4
OG0000252	1	2	1	4
OG0000253	1	2	1	4
OG0000254	1	1	2	4
OG0000255	1	1	2	4
OG0000256	1	1	2	4
OG0000257	1	1	2	4
OG0000258	1	2	1	4
OG0000259	1	2	1	4
OG0000260	1	2	1	4
OG0000261	1	1	2	4
OG0000262	1	2	1	4
OG0000263	1	2	1	4
OG0000264	1	2	1	4
OG0000265	1	1	2	4
OG0000266	1	2	1	4
OG0000267	1	2	1	4
OG0000268	1	2	1	4
OG0000269	1	1	2	4
OG0000270	1	2	1	4
OG0000271	1	2	1	4
OG0000272	1	2	1	4
OG0000273	1	1	2	4
OG0000274	1	2	1	4
OG0000275	1	2	1	4
OG0000276	1	2	1	4
OG0000277	1	2	1	4
OG0000278	1	2	1	4
OG0000279	1	2	1	4
OG0000280	1	1	2	4
OG0000281	1	2	1	4
OG0000282	1	2	1	4
OG0000283	1	2	1	4
OG0000284	1	1	2	4
OG0000285	1	1	2	4
OG0000286	1	2	1	4
OG0000287	1	1	2	4
OG0000288	1	1	2	4
OG0000289	1	2	1	4
OG0000290	1	2	1	4
OG0000291	1	2	1	4
OG0000292	1	2	1	4
OG0000293	1	2	1	4
OG0000294	1	1	2	4
OG0000295	1	2	1	4
OG0000296	1	2	1	4
OG0000297	1	2	1	4
OG0000298	1	2	1	4
OG0000299	1	1	2	4
OG0000300	1	2	1	4
OG0000301	1	2	1	4
OG0000302	1	2	1	4
OG0000303	1	2	1	4
OG0000304	1	2	1	4
OG0000305	1	1	2	4
OG0000306	1	1	2	4
OG0000307	1	2	1	4
OG0000308	1	2	1	4
OG0000309	1	2	1	4
OG0000310	2	1	1	4
OG0000311	1	2	1	4
OG0000312	1	2	1	4
OG0000313	1	2	1	4
OG0000314	1	2	1	4
OG0000315	1	1	2	4
OG0000316	1	1	2	4
OG0000317	1	1	2	4
OG0000318	1	1	2	4
OG0000319	1	1	2	4
OG0000320	1	1	2	4
OG0000321	2	1	1	4
OG0000322	1	1	2	4
OG0000323	1	1	2	4
OG0000324	1	2	1	4
OG0000325	1	1	2	4
OG0000326	1	2	1	4
OG0000327	1	1	2	4
OG0000328	2	1	1	4
OG0000329	1	1	2	4
OG0000330	1	1	2	4
OG0000331	1	1	2	4
OG0000332	2	1	1	4
OG0000333	2	1	1	4
OG0000334	1	1	2	4
OG0000335	1	1	2	4
OG0000336	1	1	2	4
OG0000337	2	1	1	4
OG0000338	1	1	2	4
OG0000339	2	1	1	4
OG0000340	1	1	2	4
OG0000341	1	1	2	4
OG0000342	1	2	1	4
OG0000343	1	2	1	4
OG0000344	2	1	1	4
OG0000345	2	0	2	4
OG0000346	2	1	1	4
OG0000347	1	1	2	4
OG0000348	1	2	1	4
OG0000349	1	0	3	4
OG0000350	1	2	1	4
OG0000351	1	2	1	4
OG0000352	1	1	2	4
OG0000353	1	2	1	4
OG0000354	2	1	1	4
OG0000355	1	1	2	4
OG0000356	1	1	2	4
OG0000357	1	1	2	4
OG0000358	1	2	1	4
OG0000359	1	1	2	4
OG0000360	1	1	2	4
OG0000361	1	2	1	4
OG0000362	1	1	2	4
OG0000363	1	2	1	4
OG0000364	1	1	2	4
OG0000365	1	2	1	4
OG0000366	1	1	2	4
OG0000367	1	1	2	4
OG0000368	1	1	2	4
OG0000369	1	1	2	4
OG0000370	1	1	2	4
OG0000371	1	2	1	4
OG0000372	1	1	2	4
OG0000373	1	1	2	4
OG0000374	1	2	1	4
OG0000375	1	1	2	4
OG0000376	1	2	1	4
OG0000377	1	2	1	4
OG0000378	1	2	1	4
OG0000379	1	2	1	4
OG0000380	1	2	1	4
OG0000381	1	1	2	4
OG0000382	1	1	2	4
OG0000383	1	2	1	4
OG0000384	1	2	1	4
OG0000385	1	2	1	4
OG0000386	1	2	1	4
OG0000387	1	2	1	4
OG0000388	1	2	1	4
OG0000389	1	2	1	4
OG0000390	1	1	2	4
OG0000391	2	1	1	4
OG0000392	1	1	2	4
OG0000393	1	1	2	4
OG0000394	1	2	1	4
OG0000395	1	1	2	4
OG0000396	1	2	1	4
OG0000397	1	1	2	4
OG0000398	1	1	2	4
OG0000399	1	2	1	4
OG0000400	1	1	2	4
OG0000401	1	2	1	4
OG0000402	1	2	1	4
OG0000403	1	2	1	4
OG0000404	1	1	2	4
OG0000405	1	1	2	4
OG0000406	1	2	1	4
OG0000407	1	1	2	4
OG0000408	2	1	1	4
OG0000409	1	2	1	4
OG0000410	1	2	1	4
OG0000411	1	2	1	4
OG0000412	1	2	1	4
OG0000413	1	1	2	4
OG0000414	1	1	2	4
OG0000415	1	2	1	4
OG0000416	1	1	2	4
OG0000417	1	1	2	4
OG0000418	1	1	2	4
OG0000419	2	2	0	4
OG0000420	1	1	2	4
OG0000421	1	1	2	4
OG0000422	3	1	0	4
OG0000423	1	1	2	4
OG0000424	1	1	2	4
OG0000425	1	1	2	4
OG0000426	1	1	2	4
OG0000427	1	1	2	4
OG0000428	1	2	1	4
OG0000429	1	1	2	4
OG0000430	1	1	2	4
OG0000431	1	1	2	4
OG0000432	1	2	1	4
OG0000433	1	1	2	4
OG0000434	1	2	1	4
OG0000435	1	1	2	4
OG0000436	1	1	2	4
OG0000437	1	1	2	4
OG0000438	1	2	1	4
OG0000439	1	2	1	4
OG0000440	1	2	1	4
OG0000441	1	2	1	4
OG0000442	1	2	1	4
OG0000443	1	2	1	4
OG0000444	1	2	1	4
OG0000445	1	2	1	4
OG0000446	1	2	1	4
OG0000447	1	2	1	4
OG0000448	1	2	1	4
